"id" "symbol"
"ENSMUSG00000056145" "ENSMUSG00000056145" "AI504432"
"ENSMUSG00000024397" "ENSMUSG00000024397" "Aif1"
"ENSMUSG00000037860" "ENSMUSG00000037860" "Aim2"
"ENSMUSG00000028792" "ENSMUSG00000028792" "Ak2"
"ENSMUSG00000024782" "ENSMUSG00000024782" "Ak3"
"ENSMUSG00000066406" "ENSMUSG00000066406" "Akap13"
"ENSMUSG00000040407" "ENSMUSG00000040407" "Akap9"
"ENSMUSG00000001729" "ENSMUSG00000001729" "Akt1"
"ENSMUSG00000028393" "ENSMUSG00000028393" "Alad"
"ENSMUSG00000032786" "ENSMUSG00000032786" "Alas1"
"ENSMUSG00000025270" "ENSMUSG00000025270" "Alas2"
"ENSMUSG00000022636" "ENSMUSG00000022636" "Alcam"
"ENSMUSG00000025007" "ENSMUSG00000025007" "Aldh18a1"
"ENSMUSG00000053279" "ENSMUSG00000053279" "Aldh1a1"
"ENSMUSG00000024747" "ENSMUSG00000024747" "Aldh1a7"
"ENSMUSG00000035561" "ENSMUSG00000035561" "Aldh1b1"
"ENSMUSG00000030088" "ENSMUSG00000030088" "Aldh1l1"
"ENSMUSG00000029455" "ENSMUSG00000029455" "Aldh2"
"ENSMUSG00000053644" "ENSMUSG00000053644" "Aldh7a1"
"ENSMUSG00000114515" "ENSMUSG00000114515" "Aldoa"
"ENSMUSG00000030695" "ENSMUSG00000030695" "Aldoa"
"ENSMUSG00000025899" "ENSMUSG00000025899" "Alkbh8"
"ENSMUSG00000025701" "ENSMUSG00000025701" "Alox5"
"ENSMUSG00000060063" "ENSMUSG00000060063" "Alox5ap"
"ENSMUSG00000031751" "ENSMUSG00000031751" "Amfr"
"ENSMUSG00000042225" "ENSMUSG00000042225" "Ammecr1"
"ENSMUSG00000005686" "ENSMUSG00000005686" "Ampd3"
"ENSMUSG00000014355" "ENSMUSG00000014355" "Anapc1"
"ENSMUSG00000025135" "ENSMUSG00000025135" "Anapc11"
"ENSMUSG00000035048" "ENSMUSG00000035048" "Anapc13"
"ENSMUSG00000026965" "ENSMUSG00000026965" "Anapc2"
"ENSMUSG00000029472" "ENSMUSG00000029472" "Anapc5"
"ENSMUSG00000022309" "ENSMUSG00000022309" "Angpt1"
"ENSMUSG00000022265" "ENSMUSG00000022265" "Ank"
"ENSMUSG00000031543" "ENSMUSG00000031543" "Ank1"
"ENSMUSG00000035569" "ENSMUSG00000035569" "Ankrd11"
"ENSMUSG00000041870" "ENSMUSG00000041870" "Ankrd13a"
"ENSMUSG00000055204" "ENSMUSG00000055204" "Ankrd17"
"ENSMUSG00000007827" "ENSMUSG00000007827" "Ankrd26"
"ENSMUSG00000052331" "ENSMUSG00000052331" "Ankrd44"
"ENSMUSG00000036777" "ENSMUSG00000036777" "Anln"
"ENSMUSG00000037949" "ENSMUSG00000037949" "Ano10"
"ENSMUSG00000064210" "ENSMUSG00000064210" "Ano6"
"ENSMUSG00000032249" "ENSMUSG00000032249" "Anp32a"
"ENSMUSG00000028333" "ENSMUSG00000028333" "Anp32b"
"ENSMUSG00000015749" "ENSMUSG00000015749" "Anp32e"
"ENSMUSG00000032231" "ENSMUSG00000032231" "Anxa2"
"ENSMUSG00000029484" "ENSMUSG00000029484" "Anxa3"
"ENSMUSG00000027712" "ENSMUSG00000027712" "Anxa5"
"ENSMUSG00000018340" "ENSMUSG00000018340" "Anxa6"
"ENSMUSG00000021322" "ENSMUSG00000021322" "Aoah"
"ENSMUSG00000009090" "ENSMUSG00000009090" "Ap1b1"
"ENSMUSG00000003033" "ENSMUSG00000003033" "Ap1m1"
"ENSMUSG00000031367" "ENSMUSG00000031367" "Ap1s2"
